iter	Passed	Remaining
0	57	57080
1	116	58185
2	163	54372
3	233	58253
4	290	57902
5	355	58827
6	407	57808
7	486	60321
8	540	59508
9	595	58949
10	661	59489
11	706	58145
12	765	58151
13	817	57600
14	867	56957
15	920	56634
16	976	56487
17	1022	55809
18	1072	55376
19	1146	56182
20	1202	56053
21	1275	56723
22	1324	56259
23	1369	55708
24	1436	56029
25	1513	56692
26	1567	56493
27	1636	56811
28	1706	57126
29	1779	57541
30	1845	57701
31	1912	57860
32	1978	57982
33	2058	58478
34	2140	59025
35	2212	59250
36	2297	59794
37	2368	59957
38	2437	60067
39	2509	60234
40	2586	60505
41	2659	60659
42	2733	60826
43	2805	60960
44	2877	61071
45	2951	61221
46	3021	61269
47	3087	61238
48	3164	61418
49	3237	61507
50	3297	61365
51	3379	61608
52	3444	61544
53	3512	61529
54	3565	61266
55	3628	61162
56	3693	61105
57	3745	60826
58	3822	60969
59	3894	61008
60	3978	61245
61	4032	61008
62	4094	60894
63	4156	60795
64	4217	60666
65	4288	60686
66	4338	60412
67	4402	60337
68	4472	60350
69	4539	60305
70	4620	60453
71	4708	60683
72	4802	60984
73	4868	60920
74	4936	60880
75	5002	60820
76	5079	60888
77	5151	60888
78	5217	60823
79	5285	60783
80	5337	60560
81	5390	60350
82	5450	60213
83	5513	60124
84	5583	60099
85	5646	60009
86	5753	60381
87	5825	60371
88	5893	60323
89	5940	60068
90	6016	60096
91	6099	60198
92	6152	60005
93	6227	60017
94	6293	59952
95	6353	59830
96	6407	59652
97	6464	59503
98	6548	59599
99	6603	59432
100	6692	59566
101	6761	59524
102	6821	59404
103	6866	59159
104	6947	59215
105	7022	59223
106	7096	59222
107	7165	59179
108	7268	59412
109	7324	59258
110	7393	59217
111	7463	59172
112	7500	58877
113	7579	58908
114	7650	58875
115	7721	58845
116	7781	58726
117	7838	58587
118	7887	58397
119	7955	58339
120	8015	58225
121	8074	58107
122	8173	58277
123	8231	58152
124	8295	58065
125	8354	57953
126	8428	57937
127	8508	57961
128	8550	57732
129	8577	57404
130	8626	57222
131	8695	57179
132	8764	57132
133	8821	57011
134	8877	56883
135	8933	56755
136	8983	56590
137	9058	56580
138	9125	56528
139	9180	56395
140	9241	56298
141	9277	56057
142	9327	55899
143	9410	55940
144	9465	55811
145	9525	55716
146	9576	55570
147	9644	55523
148	9707	55444
149	9764	55330
150	9839	55323
151	9908	55277
152	9954	55106
153	9997	54920
154	10041	54745
155	10137	54846
